region,county,state,msa,pmsa,pop.density,pop,pop.change,age6574,age75,crime,college,income,farm,democrat,republican,Perot,white,black,turnout
West,Alameda,CA,7362,5775,1773,1279182,18.29999924,6.199999809,4.400000095,8220,28.79999924,45037,0,63,20.60000038,15.39999962,59.55485535,17.92153168,41.44406509
West,Alpine,CA,NA,NA,2,1113,4.199999809,4.300000191,3.200000048,7130,24,29276,0,34.09999847,35.20000076,29.5,72.41689301,0.53908354,56.69362259
West,Amador,CA,NA,NA,54,30039,65,10.89999962,6.699999809,2588,14,35062,1.399999976,34.20000076,35.5,29.5,89.53028107,5.599387646,51.37987137
West,Butte,CA,1620,NA,115,182120,31,10.10000038,7.199999809,4808,19.5,28314,1.5,38.20000076,37.20000076,23.79999924,90.70941925,1.296397924,46.68021011
West,Calaveras,CA,NA,NA,35,31998,70.80000305,11.60000038,6.099999905,3313,14.39999962,32211,1.299999952,35.20000076,35.29999924,28.5,95.65910339,0.57503593,53.10019302
West,Colusa,CA,NA,NA,15,16275,31.60000038,7.800000191,5.099999905,4184,11.10000038,28230,7.699999809,31.89999962,45.90000153,21.39999962,76.44853973,0.589861751,34.62365723
West,Contra Costa,CA,7362,5775,1167,803732,28.10000038,6.599999905,4.300000191,6246,31.60000038,51651,0.100000001,50.90000153,29.5,18.89999962,76.02073669,9.278839111,47.63067627
West,Del Norte,CA,NA,NA,29,23460,58.5,8,4.900000095,4009,10,26992,0.699999988,38.90000153,33,27.5,86.14662933,3.657289028,39.86785889
West,El Dorado,CA,6922,6920,81,125995,61,7.699999809,4.099999905,4006,20.79999924,39823,0.899999976,32.40000153,39.90000153,27,94.54184723,0.480971456,51.49966431
West,Fresno,CA,2840,NA,118,667490,37.09999847,6.099999905,4.300000191,9100,16.89999962,29970,2.799999952,42.20000076,40.70000076,16.60000038,63.34761429,5.007266045,32.83359909
West,Glenn,CA,NA,NA,19,24798,19.5,8,6,3417,9.399999619,27216,10.10000038,30.20000076,43.20000076,25.79999924,85.39398193,0.552463889,35.55125427
West,Humboldt,CA,NA,NA,34,119118,12.39999962,7.199999809,5.099999905,4718,20,30357,0.800000012,48.09999847,30.5,20.60000038,90.5664978,0.805923522,50.38785172
West,Imperial,CA,NA,NA,31,109303,40,6.5,3.700000048,7208,9.699999809,25147,0.899999976,43.90000153,38.5,16.79999924,67.34947968,2.398836374,23.16313362
West,Inyo,CA,NA,NA,2,18281,2.700000048,10.69999981,7.800000191,3735,13.5,30460,0.800000012,31.79999924,43.59999847,23.60000038,86.30271912,0.432142675,46.29943848
West,Kern,CA,680,NA,72,543477,45.79999924,5.900000095,3.799999952,6561,13.30000019,31714,0.600000024,33.79999924,45.09999847,20.60000038,69.64029694,5.544116974,32.98447037
West,Kings,CA,NA,NA,77,101469,45.59999847,4.599999905,3.099999905,4295,9,27614,2.599999905,38.90000153,41.59999847,19.10000038,64.22257233,8.123662949,25.27964211
West,Lake,CA,NA,NA,43,50631,47.90000153,13.89999962,8.699999809,5241,10.69999981,26563,1.600000024,45.40000153,28.79999924,25,91.81331635,1.842744589,45.84740448
West,Lassen,CA,NA,NA,6,27598,29.70000076,6.5,3.799999952,2158,11.69999981,31803,3.5,32.70000076,37,29,87.74186707,6.228712082,37.5461998
West,Los Angeles,CA,4472,4480,2230,8863164,21.10000038,5.699999809,4,7614,22.29999924,39035,0,52.5,29,17.70000076,56.80931854,11.20338058,31.06568909
West,Madera,CA,2840,NA,46,88090,56.90000153,7.5,4.800000191,4791,11.69999981,30246,4.400000095,35.90000153,43.20000076,20.39999962,71.93665314,2.831195354,34.33420181
West,Marin,CA,7362,7360,450,230096,5,7.300000191,5,4028,44,59157,0.300000012,58.29999924,23.29999924,17.60000038,88.71427917,3.551561117,56.80541992
West,Mariposa,CA,NA,NA,11,14302,38.09999847,11.19999981,6.300000191,3418,16.79999924,29468,1.799999952,36.5,36,26.70000076,92.44161987,0.853027523,57.94294357
West,Mendocino,CA,NA,NA,23,80345,22.39999962,8,5.5,3163,17.79999924,31276,2.599999905,50.20000076,21.79999924,26.70000076,89.64590454,0.631028712,45.47638321
West,Merced,CA,4940,NA,98,178403,40.5,5.699999809,3.5,4715,12,28269,5,40.90000153,36.5,22.10000038,67.42038727,4.777386189,27.62509537
West,Modoc,CA,NA,NA,2,9678,14,10.30000019,6.599999905,2338,11.19999981,27407,7.099999905,32.20000076,39,27.39999962,90.95887756,0.805951655,47.78879929
West,Mono,CA,NA,NA,3,9956,16.10000038,4.099999905,2.099999905,5225,21.89999962,35932,0.800000012,34.20000076,36.09999847,28.70000076,92.69786835,0.431900352,43.74246597
West,Monterey,CA,7120,NA,111,355660,26.79999924,5.800000191,4,4922,21.5,36223,1,47,31.20000076,21,63.82725143,6.424394131,32.80914307
West,Napa,CA,7362,8720,150,110765,14.10000038,9,7.5,4472,22.29999924,42789,1.799999952,45.29999924,29.29999924,24.60000038,88.89901733,1.086985946,48.25983047
West,Nevada,CA,NA,NA,87,78510,61.09999847,11.5,6.599999905,3494,22.10000038,36942,0.699999988,34.90000153,39.20000076,25,97.27550507,0.22927016,56.29983521
West,Orange,CA,4472,5945,3146,2410556,28.60000038,5.400000095,3.799999952,5873,27.79999924,51167,0,31.60000038,43.90000153,23.89999962,78.59568787,1.770587325,40.34542084
West,Placer,CA,6922,6920,133,172796,59.59999847,7.199999809,4.800000191,5048,22.70000076,42805,1,33.70000076,41.90000153,23.79999924,93.72207642,0.597814739,52.87506485
West,Plumas,CA,NA,NA,8,19739,19.39999962,11,5.900000095,4878,15.10000038,29967,0.5,37.59999847,36.20000076,25.60000038,94.179039,0.770049155,50.40275574
West,Riverside,CA,4472,6780,179,1170413,94.30000305,7.900000095,5.300000191,7993,14.60000038,37694,0.400000006,38.59999847,37.09999847,23.79999924,76.44882965,5.433210373,36.76266479
West,Sacramento,CA,6922,6920,1132,1041219,39.59999847,6.5,4.099999905,7932,23,37841,0.300000012,43.59999847,35.40000153,20.20000076,75.1355896,9.328392982,43.55587006
West,San Benito,CA,NA,NA,28,36697,53.5,6,3.900000095,4132,14.39999962,39637,4.599999905,42,32.29999924,25,69.80679321,0.555903733,34.71400833
West,San Bernardino,CA,4472,6780,76,1418380,71.40000153,5.300000191,3.5,6491,14.89999962,36977,0.100000001,38.70000076,37.20000076,23,72.99369812,8.103188515,33.42334366
West,San Diego,CA,7320,NA,619,2498016,39.70000076,6.5,4.400000095,6816,25.29999924,39798,0.300000012,37.20000076,35.70000076,26.29999924,74.94972229,6.377301216,39.49718475
West,San Francisco,CA,7362,7360,15609,723959,7.400000095,7.900000095,6.599999905,9639,35,40561,0,72.40000153,17.79999924,9,53.56422043,10.91760731,44.50624847
West,San Joaquin,CA,8120,NA,360,480628,45.09999847,6.5,4.599999905,8393,13.19999981,34701,2.200000048,41.29999924,37.79999924,20.20000076,73.48073578,5.637207985,32.0851059
West,San Luis Obispo,CA,7460,NA,67,217162,41.90000153,8.399999619,5.699999809,3655,22.89999962,37086,1.299999952,38.40000153,34.79999924,26.10000038,89.15878296,2.637201786,48.17555618
West,San Mateo,CA,7362,7360,1477,649623,13,7.300000191,5,4595,31.29999924,53430,0,54,27.20000076,18.29999924,71.87014771,5.431303978,42.56438065
